maze,n_seed,mean,std,iqm,ci_low,ci_high
1,5,0.34666,0.22558984462958434,0.4111,0.14666,0.5
2,5,0.43999999999999995,0.14502022272772855,0.4037,0.33776,0.56668
3,5,0.67332,0.42190006755154713,0.7888666666666667,0.30666000000000004,0.9666599999999999
