ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
1150,2,79,-963.17,-1046.27,0.05,715.216075,1,433168,890
1151,2,81,-925.91,-1044.24,0.05,153.427692,1,433249,891
1152,2,80,-993.19,-1042.64,0.05,443.561389,1,433329,892
1153,2,80,-994.13,-1042.01,0.05,162.6511,1,433409,893
1154,2,82,-946.11,-1040.88,0.05,215.71207,1,433491,894
1155,2,83,-816.09,-1040.49,0.05,345.870754,1,433574,895
1156,2,80,-944.11,-1038.86,0.05,302.759908,1,433654,896
1157,2,81,-891.48,-1036.56,0.05,237.20919,1,433735,897
1158,2,80,-918.63,-1034.22,0.05,306.45127,1,433815,898
1159,2,80,-974.74,-1033.51,0.05,232.927589,1,433895,899
1160,2,87,-877.03,-1031.09,0.05,373.892455,1,433982,900
1161,2,85,-861.74,-1030.35,0.05,495.477497,1,434067,901
1162,2,78,-1009.24,-1029.93,0.05,293.589719,1,434145,902
1163,2,83,-902.35,-1026.9,0.05,313.846444,1,434228,903
1164,2,81,-945.21,-1020.97,0.05,452.304023,1,434309,904
1165,2,81,-913.63,-1021.48,0.05,190.316038,1,434390,905
1166,2,83,-904.56,-1019.65,0.05,324.46325,1,434473,906
1167,2,82,-870.78,-1017.2,0.05,547.036981,1,434555,907
1168,2,83,-862.03,-1014.66,0.05,344.945349,1,434638,908
1169,2,159,-1493.0,-1017.84,0.05,245.374688,1,434797,909
1170,2,83,-860.64,-1014.8,0.05,289.718754,1,434880,910
1171,2,85,-871.15,-1012.32,0.05,144.179924,1,434965,911
1172,2,157,-1404.49,-1015.85,0.05,240.495112,1,435122,912
1173,2,157,-1419.27,-1017.75,0.05,284.628852,1,435279,913
1174,2,159,-1395.44,-1021.01,0.05,274.207033,1,435438,914
1175,2,157,-1410.57,-1026.73,0.05,260.922294,1,435595,915
1176,2,154,-1387.08,-1030.24,0.05,343.529641,1,435749,916
1177,2,154,-1391.52,-1032.75,0.05,247.256276,1,435903,917
1178,2,159,-1415.91,-1035.95,0.05,287.906229,1,436062,918
1179,2,156,-1383.44,-1038.47,0.05,200.184618,1,436218,919
1180,2,156,-1395.95,-1041.36,0.05,280.157122,1,436374,920
1181,2,157,-1385.91,-1041.0,0.05,174.397855,1,436531,921
1182,2,158,-1395.84,-1044.34,0.05,238.729213,1,436689,922
1183,2,158,-1420.67,-1047.37,0.05,245.154617,1,436847,923
1184,2,158,-1414.27,-1051.35,0.05,357.054227,1,437005,924
1185,2,156,-1400.29,-1054.23,0.05,212.04645,1,437161,925
1186,2,410,-399.94,-1046.79,0.05,288.318736,1,437571,926
1187,2,409,-570.03,-1048.68,0.05,294.696787,1,437980,927
1188,2,89,-829.91,-1045.64,0.05,348.793665,1,438069,928
1189,2,156,-1415.63,-1048.3,0.05,254.902139,1,438225,929
1190,2,91,-858.05,-1045.73,0.05,669.682694,1,438316,930
1191,2,163,-1364.29,-1054.99,0.05,321.420278,1,438479,931
1192,2,406,-364.63,-1047.42,0.05,324.536986,1,438885,932
1193,2,410,-413.63,-1040.04,0.05,269.582562,1,439295,933
1194,2,90,-873.84,-1037.13,0.05,183.635176,1,439385,934
