maze,n_seed,mean,std,iqm,ci_low,ci_high
1,5,0.11666000000000001,0.21730802562261708,0.027766666666666665,0.0,0.31666
2,5,0.48999999999999994,0.20553063032064103,0.5333333333333333,0.32,0.64222
3,5,0.006660000000000001,0.014892212730148601,0.0,0.0,0.019980000000000005
