maze,n_seed,mean,std,iqm,ci_low,ci_high
1,5,0.03,0.0670820393249937,0.0,0.0,0.09
2,5,0.41224000000000005,0.24988642019925775,0.3796333333333333,0.2278,0.5966800000000001
3,5,0.38,0.521536192416212,0.3,0.0,0.78
