ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes
788,2,89,-609.62,146.93,0.05,1940.790277,1,206594,712
789,2,91,-614.46,119.38,0.05,1598.671387,1,206685,713
790,2,86,-630.7,91.75,0.05,1233.691325,1,206771,714
791,2,91,-604.37,63.94,0.05,1150.249726,1,206862,715
792,2,89,-606.28,36.37,0.05,2706.508304,1,206951,716
793,2,90,-607.29,8.78,0.05,785.188931,1,207041,717
794,2,91,-610.75,-18.79,0.05,2293.554997,1,207132,718
795,2,90,-605.42,-45.83,0.05,892.008296,1,207222,719
796,2,91,-604.28,-37.82,0.05,2882.202202,1,207313,720
797,2,88,-615.53,-65.5,0.05,1529.182434,1,207401,721
798,2,89,-611.48,-93.21,0.05,2821.147716,1,207490,722
799,2,89,-619.66,-83.18,0.05,1381.7581,1,207579,723
800,2,89,-613.54,-111.02,0.05,2390.96981,1,207668,724
801,1,336,-284.85,-103.79,0.05,2000.757607,1,208004,725
802,1,336,-196.1,-95.58,0.05,2058.07512,1,208340,726
803,1,333,-149.73,-86.96,0.05,2417.650527,1,208673,727
804,1,336,-307.65,-79.91,0.05,2167.955396,1,209009,728
805,1,336,-354.77,-73.42,0.05,1827.801309,1,209345,729
806,1,47,-954.04,-72.82,0.05,2273.066409,1,209392,730
807,1,500,1013.53,-52.71,0.05,2138.68745,0,209892,730
808,1,35,-1133.9,-54.01,0.05,3241.5481,1,209927,731
809,1,500,391.22,-40.15,0.05,2175.709106,0,210427,731
810,1,331,29.38,-30.14,0.05,1685.219504,1,210758,732
811,1,46,-988.99,-29.9,0.05,1785.73652,1,210804,733
812,1,47,-912.76,-29.09,0.05,3311.431611,1,210851,734
813,1,335,-244.46,-21.81,0.05,1968.527491,1,211186,735
814,1,500,707.98,-5.14,0.05,1713.038537,0,211686,735
815,1,500,1784.78,22.55,0.05,2066.459481,0,212186,735
816,1,500,819.81,40.39,0.05,2169.397737,0,212686,735
817,1,44,-1108.98,38.81,0.05,3976.47155,1,212730,736
818,1,500,667.11,54.83,0.05,2795.207006,0,213230,736
819,1,44,-1098.88,53.24,0.05,3124.332899,1,213274,737
820,1,500,1581.83,78.21,0.05,2245.545953,0,213774,737
821,1,500,1460.08,101.61,0.05,1775.479753,0,214274,737
