ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn,seed
891,2,266,325.0,-206.6,0.4101,431.465827,1,14103,889,"(-4.5,1.5)",42
892,2,94,-535.0,-204.65,0.4097,265.059311,1,14197,890,"(0.5,-2.0)",42
893,2,55,-730.0,-216.25,0.4092,291.17234,1,14252,891,"(1.5,0.0)",42
894,2,67,-670.0,-223.9,0.4088,232.124983,1,14319,892,"(3.5,0.5)",42
895,2,272,355.0,-224.7,0.4084,292.577745,1,14591,893,"(-4.5,1.5)",42
896,2,27,-870.0,-242.45,0.408,184.511041,1,14618,894,"(0.0,3.5)",42
897,2,94,-535.0,-239.1,0.4076,309.901642,1,14712,895,"(0.5,-2.0)",42
898,2,176,-125.0,-235.6,0.4072,434.804993,1,14888,896,"(6.0,6.0)",42
899,2,27,-870.0,-248.2,0.4068,1116.439279,1,14915,897,"(0.0,3.5)",42
900,2,94,-535.0,-254.55,0.4064,268.091327,1,15009,898,"(0.5,-2.0)",42
901,2,94,-535.0,-263.7,0.406,251.078045,1,15103,899,"(0.5,-2.0)",42
902,2,287,430.0,-250.7,0.4056,301.688289,1,15390,900,"(-1.5,-4.0)",42
903,2,95,-530.0,-257.25,0.4052,291.013125,1,15485,901,"(0.5,-2.0)",42
904,2,337,680.0,-254.3,0.4048,406.433349,1,15822,902,"(-7.0,5.0)",42
905,2,173,-140.0,-249.0,0.4044,298.471793,1,15995,903,"(6.0,6.0)",42
906,2,297,480.0,-248.5,0.404,443.765817,1,16292,904,"(-4.5,1.5)",42
907,2,177,-120.0,-245.0,0.4036,301.416131,1,16469,905,"(6.0,6.0)",42
908,2,294,465.0,-235.6,0.4031,385.314553,1,16763,906,"(6.0,6.0)",42
909,2,27,-870.0,-239.6,0.4027,618.622528,1,16790,907,"(0.0,3.5)",42
910,2,106,-475.0,-248.5,0.4023,361.969807,1,16896,908,"(-6.0,0.0)",42
911,2,277,380.0,-238.0,0.4019,349.14827,1,17173,909,"(-4.5,1.5)",42
912,2,27,-870.0,-240.0,0.4015,458.381196,1,17200,910,"(0.0,3.5)",42
913,2,94,-535.0,-249.6,0.4011,350.081154,1,17294,911,"(0.5,-2.0)",42
914,2,106,-475.0,-247.05,0.4007,926.155455,1,17400,912,"(-6.0,0.0)",42
915,2,94,-535.0,-259.35,0.4003,358.666704,1,17494,913,"(0.5,-2.0)",42
916,2,291,450.0,-253.65,0.3999,243.962612,1,17785,914,"(-4.5,1.5)",42
917,2,27,-870.0,-266.45,0.3995,212.291622,1,17812,915,"(0.0,3.5)",42
918,2,93,-540.0,-275.55,0.3991,588.609776,1,17905,916,"(0.5,-2.0)",42
919,2,55,-730.0,-274.2,0.3987,256.783249,1,17960,917,"(1.5,0.0)",42
920,2,178,-115.0,-276.35,0.3983,405.692327,1,18138,918,"(6.0,6.0)",42
921,2,100,-505.0,-282.6,0.3979,508.464439,1,18238,919,"(-4.5,1.5)",42
922,2,275,370.0,-285.85,0.3975,478.795544,1,18513,920,"(-4.5,1.5)",42
923,2,289,440.0,-274.15,0.3971,501.16572,1,18802,921,"(-1.5,-4.0)",42
924,2,94,-535.0,-283.15,0.3967,290.259904,1,18896,922,"(0.5,-2.0)",42
925,2,300,495.0,-269.5,0.3963,517.097506,1,19196,923,"(-4.5,1.5)",42
926,2,342,705.0,-266.8,0.396,403.382421,1,19538,924,"(-7.0,5.0)",42
927,2,107,-470.0,-275.45,0.3956,454.154518,1,19645,925,"(-6.0,0.0)",42
928,2,67,-670.0,-277.4,0.3952,655.946182,1,19712,926,"(3.5,0.5)",42
929,2,106,-475.0,-273.45,0.3948,428.645736,1,19818,927,"(-6.0,0.0)",42
930,2,180,-105.0,-265.8,0.3944,491.580866,1,19998,928,"(6.0,6.0)",42
931,2,28,-865.0,-269.05,0.394,978.63069,1,20026,929,"(0.0,3.5)",42
932,2,27,-870.0,-281.85,0.3936,238.735244,1,20053,930,"(0.0,3.5)",42
933,2,107,-470.0,-279.85,0.3932,306.634601,1,20160,931,"(-6.0,0.0)",42
934,2,55,-730.0,-279.85,0.3928,245.979234,1,20215,932,"(1.5,0.0)",42
935,2,345,720.0,-265.95,0.3924,657.508105,1,20560,933,"(-7.0,5.0)",42
936,2,293,460.0,-268.3,0.392,599.943326,1,20853,934,"(-4.5,1.5)",42
937,2,106,-475.0,-264.35,0.3916,875.248776,1,20959,935,"(-6.0,0.0)",42
938,2,106,-475.0,-264.35,0.3912,513.495391,1,21065,936,"(-6.0,0.0)",42
939,2,289,440.0,-266.85,0.3908,513.34947,1,21354,937,"(-1.5,-4.0)",42
940,2,106,-475.0,-278.55,0.3904,385.811914,1,21460,938,"(-6.0,0.0)",42
941,2,288,435.0,-281.05,0.3901,480.444101,1,21748,939,"(-1.5,-4.0)",42
942,2,107,-470.0,-284.35,0.3897,288.060814,1,21855,940,"(-6.0,0.0)",42
943,2,68,-665.0,-283.7,0.3893,596.783527,1,21923,941,"(3.5,0.5)",42
944,2,107,-470.0,-295.25,0.3889,407.480805,1,22030,942,"(-6.0,0.0)",42
945,2,276,375.0,-282.8,0.3885,877.92721,1,22306,943,"(-4.5,1.5)",42
946,2,27,-870.0,-295.7,0.3881,246.581651,1,22333,944,"(0.0,3.5)",42
947,2,55,-730.0,-301.45,0.3877,225.869345,1,22388,945,"(1.5,0.0)",42
948,2,286,425.0,-288.55,0.3873,485.995387,1,22674,946,"(-1.5,-4.0)",42
949,2,298,485.0,-276.4,0.3869,418.90843,1,22972,947,"(6.0,6.0)",42
950,2,94,-535.0,-280.15,0.3866,260.265851,1,23066,948,"(0.5,-2.0)",42
951,2,68,-665.0,-280.1,0.3862,400.59245,1,23134,949,"(3.5,0.5)",42
952,2,106,-475.0,-283.45,0.3858,745.86728,1,23240,950,"(-6.0,0.0)",42
953,2,107,-470.0,-294.95,0.3854,536.90692,1,23347,951,"(-6.0,0.0)",42
954,2,190,-55.0,-288.8,0.385,595.556469,1,23537,952,"(6.0,6.0)",42
955,2,344,715.0,-274.95,0.3846,426.638708,1,23881,953,"(-7.0,5.0)",42
956,2,342,705.0,-259.2,0.3842,463.898788,1,24223,954,"(-7.0,5.0)",42
957,2,68,-665.0,-264.4,0.3839,366.813168,1,24291,955,"(3.5,0.5)",42
958,2,295,470.0,-264.1,0.3835,477.778984,1,24586,956,"(6.0,6.0)",42
959,2,385,920.0,-248.2,0.3831,445.73114,1,24971,957,"(6.0,6.0)",42
960,2,272,355.0,-248.7,0.3827,590.778591,1,25243,958,"(-4.5,1.5)",42
961,2,288,435.0,-248.25,0.3823,626.883577,1,25531,959,"(6.0,6.0)",42
962,2,343,710.0,-232.45,0.3819,750.161402,1,25874,960,"(-7.0,5.0)",42
963,2,68,-665.0,-234.35,0.3816,299.385663,1,25942,961,"(3.5,0.5)",42
964,2,29,-860.0,-236.25,0.3812,912.618262,1,25971,962,"(0.0,3.5)",42
965,2,26,-875.0,-237.7,0.3808,1066.109092,1,25997,963,"(0.0,3.5)",42
966,2,188,-65.0,-229.65,0.3804,368.10664,1,26185,964,"(6.0,6.0)",42
967,2,284,415.0,-218.8,0.38,596.200875,1,26469,965,"(-1.5,-4.0)",42
968,2,296,475.0,-212.5,0.3797,694.964012,1,26765,966,"(6.0,6.0)",42
969,2,67,-670.0,-210.5,0.3793,301.008084,1,26832,967,"(3.5,0.5)",42
970,2,68,-665.0,-210.45,0.3789,558.262432,1,26900,968,"(3.5,0.5)",42
971,2,55,-730.0,-213.05,0.3785,927.145173,1,26955,969,"(1.5,0.0)",42
972,2,28,-865.0,-216.35,0.3781,301.630007,1,26983,970,"(0.0,3.5)",42
973,2,345,720.0,-215.95,0.3778,483.858279,1,27328,971,"(-7.0,5.0)",42
974,2,94,-535.0,-223.2,0.3774,405.955834,1,27422,972,"(0.5,-2.0)",42
975,2,108,-465.0,-222.5,0.377,340.550805,1,27530,973,"(-6.0,0.0)",42
976,2,341,700.0,-211.35,0.3766,856.624632,1,27871,974,"(-7.0,5.0)",42
977,2,290,445.0,-202.15,0.3763,1159.942978,1,28161,975,"(6.0,6.0)",42
978,2,386,925.0,-186.2,0.3759,624.4958,1,28547,976,"(6.0,6.0)",42
979,2,67,-670.0,-199.7,0.3755,466.117184,1,28614,977,"(3.5,0.5)",42
980,2,94,-535.0,-203.65,0.3751,768.089256,1,28708,978,"(-4.5,1.5)",42
981,2,70,-655.0,-205.45,0.3748,407.13703,1,28778,979,"(3.5,0.5)",42
982,2,344,715.0,-201.65,0.3744,741.167077,1,29122,980,"(-7.0,5.0)",42
983,2,108,-465.0,-199.0,0.374,653.175018,1,29230,981,"(-6.0,0.0)",42
984,2,68,-665.0,-198.35,0.3736,490.191214,1,29298,982,"(3.5,0.5)",42
985,2,382,905.0,-184.55,0.3733,819.922956,1,29680,983,"(6.0,6.0)",42
986,2,343,710.0,-172.7,0.3729,586.517819,1,30023,984,"(-7.0,5.0)",42
987,2,28,-865.0,-185.45,0.3725,328.745045,1,30051,985,"(0.0,3.5)",42
988,2,180,-105.0,-179.2,0.3721,614.707476,1,30231,986,"(6.0,6.0)",42
989,2,91,-550.0,-177.4,0.3718,813.248735,1,30322,987,"(-4.5,1.5)",42
990,2,55,-730.0,-178.0,0.3714,511.285555,1,30377,988,"(1.5,0.0)",42
991,2,107,-470.0,-185.95,0.371,622.66286,1,30484,989,"(-6.0,0.0)",42
992,2,342,705.0,-173.55,0.3707,408.195377,1,30826,990,"(-7.0,5.0)",42
993,2,68,-665.0,-172.9,0.3703,296.425476,1,30894,991,"(3.5,0.5)",42
994,2,107,-470.0,-170.9,0.3699,683.121656,1,31001,992,"(-6.0,0.0)",42
995,2,106,-475.0,-179.2,0.3695,648.271917,1,31107,993,"(-6.0,0.0)",42
996,2,28,-865.0,-179.15,0.3692,414.755971,1,31135,994,"(0.0,3.5)",42
997,2,91,-550.0,-179.3,0.3688,553.370719,1,31226,995,"(-4.5,1.5)",42
998,2,55,-730.0,-185.35,0.3684,839.040654,1,31281,996,"(1.5,0.0)",42
999,2,68,-665.0,-183.3,0.3681,850.871888,1,31349,997,"(3.5,0.5)",42
1000,2,94,-535.0,-183.3,0.3677,1354.29668,1,31443,998,"(0.5,-2.0)",42
