ep_global,maze,steps,reward,avg100,epsilon,avg_loss,crashed,total_steps,total_crashes,spawn,crash_sector
93,1,216,-4.69,-366.51,0.9112,5768.909267,1,14195,93,"(-2.9,-2.0)",front
94,1,216,-15.15,-362.77,0.9102,7160.175093,1,14411,94,"(-2.9,-2.0)",front
95,1,86,-726.4,-366.6,0.9093,6388.931836,1,14497,95,"(1.0,-1.0)",front
96,1,217,9.6,-362.68,0.9084,6706.281681,1,14714,96,"(-2.9,-2.0)",front
97,1,216,-7.08,-359.01,0.9075,5730.047746,1,14930,97,"(-2.9,-2.0)",front
98,1,217,-13.31,-355.48,0.9066,6002.804917,1,15147,98,"(-2.9,-2.0)",front
99,1,219,-89.13,-352.79,0.9057,5893.461191,1,15366,99,"(-2.9,-2.0)",front
100,1,87,-732.07,-356.59,0.9048,5522.784889,1,15453,100,"(1.0,-1.0)",front
101,1,216,-0.13,-349.33,0.9039,6277.185256,1,15669,101,"(-2.9,-2.0)",front
102,1,216,-18.46,-342.21,0.903,6096.357548,1,15885,102,"(-2.9,-2.0)",front
103,1,87,-731.15,-349.49,0.9021,5231.604176,1,15972,103,"(1.0,-1.0)",front
104,1,216,3.39,-342.25,0.9012,5739.502849,1,16188,104,"(-2.9,-2.0)",front
105,1,216,-25.77,-342.51,0.9003,4858.276499,1,16404,105,"(-2.9,-2.0)",front
106,1,216,-11.72,-342.55,0.8994,6406.233679,1,16620,106,"(-2.9,-2.0)",front
107,1,216,-18.56,-335.46,0.8985,4958.565733,1,16836,107,"(-2.9,-2.0)",front
108,1,86,-728.93,-335.48,0.8976,5675.953374,1,16922,108,"(1.0,-1.0)",front
109,1,216,-2.6,-328.26,0.8967,6110.808783,1,17138,109,"(-2.9,-2.0)",front
110,1,87,-735.53,-328.35,0.8958,5015.09785,1,17225,110,"(1.0,-1.0)",front
111,1,216,-14.83,-321.23,0.8949,5316.361412,1,17441,111,"(-2.9,-2.0)",front
112,1,87,-731.32,-321.2,0.894,6869.493171,1,17528,112,"(1.0,-1.0)",front
113,1,87,-735.09,-321.28,0.8931,3573.357015,1,17615,113,"(1.0,-1.0)",front
114,1,216,-25.7,-314.25,0.8922,4903.559375,1,17831,114,"(-2.9,-2.0)",front
115,1,86,-729.57,-321.46,0.8913,4455.359007,1,17917,115,"(1.0,-1.0)",front
116,1,216,-30.27,-314.55,0.8904,4785.384996,1,18133,116,"(-2.9,-2.0)",front
117,1,86,-725.55,-321.87,0.8895,5765.693046,1,18219,117,"(1.0,-1.0)",front
118,1,86,-729.56,-321.87,0.8886,5901.529192,1,18305,118,"(1.0,-1.0)",front
119,1,216,-8.71,-321.77,0.8878,4148.427173,1,18521,119,"(-2.9,-2.0)",front
120,1,86,-731.56,-328.92,0.8869,4995.387458,1,18607,120,"(1.0,-1.0)",front
121,1,216,-12.94,-328.98,0.886,6220.662023,1,18823,121,"(-2.9,-2.0)",front
122,1,216,-37.98,-329.06,0.8851,5658.015033,1,19039,122,"(-2.9,-2.0)",front
