maze,n_seed,mean,std,iqm,ci_low,ci_high
1,10,0.01833,0.04743299484536055,0.0,0.0,0.04833
2,10,0.325,0.19518764760552287,0.2768333333333333,0.22332999999999997,0.44834000000000007
3,10,0.29,0.46773686809762793,0.15,0.0,0.5800000000000001
